,name,discount_price,price,discount %,cpu,ram,storage,classification,brand_name
32,"Dell Inspiron 14 7445 2in1 Laptop - 14"" Touchscreen - Ryzen 5 8640HS - 8GB Ram - 512GB SSD - AMD Radeon Graphics",650.0,800.0,-19.0,AMD,8,512.0,Budget,dell
33,"Lenovo IdeaPad 1 82VG00QFUS - 15.6"" - Ryzen 5 7520U - 16GB Ram - 256GB SSD - AMD Radeon 610M Graphics",470.0,600.0,-22.0,AMD,6,256.0,Budget,lenovo
34,"Lenovo Yoga Slim 7 15ILL9 - 15.3"" Touchscreen - Core Ultra 7 256V - 16GB Ram - 1TB SSD - Intel Arc Graphics 140V",1350.0,1500.0,-10.0,Intel®,6,1000.0,Mid End,lenovo
35,"HP Laptop 15-Fd0143ne (B05A5EA)- 15.6"" - Core I7-1355U - 8GB Ram - 512GB SSD - MX570 2GB",750.0,850.0,-12.0,Intel®,8,512.0,Budget,hp
36,"HP EliteBook 840 G11 - 14"" - Core Ultra 5-125U - 16GB Ram - 512GB SSD - Intel Graphics",900.0,1100.0,-18.0,Intel®,6,512.0,Mid End,hp
37,"HP Laptop 15-Fd0149ne (B05B1EA) - 15.6"" - Core I5-1334U - 8GB Ram - 512GB SSD - Intel® Iris® Xᵉ Graphics",500.0,600.0,-17.0,Intel®,8,512.0,Budget,hp
38,"HP Laptop 15-Fd0152ne (B05B4EA) - 15.6"" - Core I3-1315U - 8GB Ram - 256GB SSD - Intel UHD Graphics",400.0,500.0,-20.0,Intel®,8,256.0,Budget,hp
39,LG Gram 15.6” Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics,1100.0,1200.0,-8.0,Powered,6,1000.0,Mid End,lg
40,"Lenovo IdeaPad Slim 3 82XM00BAUS - 15.6"" Touchscreen - Ryzen 7 7730U - 16GB Ram - 512GB SSD - AMD Radeon Graphics",650.0,720.0,-10.0,AMD,6,512.0,Budget,lenovo
41,"Lenovo IdeaPad 1 82VG00MYUS - 15.6"" Touchscreen - Ryzen 5 7520U - 8GB Ram - 256GB SSD - AMD Radeon 610M Graphics",500.0,550.0,-9.0,AMD,8,256.0,Budget,lenovo
43,"Lenovo V15 G4 IRU 83A1004SED - 15.6"" - Core I3-1315U - 8GB Ram - 256GB SSD - Intel UHD Graphics",380.0,420.0,-10.0,Intel®,8,256.0,Budget,lenovo
44,"MSI Modern 15 B12MO-1000US - 15.6"" - Core I7-1255U - 16GB Ram - 512GB SSD - Intel Iris Xe",650.0,750.0,-13.0,Intel®,6,512.0,Budget,msi
