name,discount_price,price,description,discount %
"HP 17-CN4065CL - 17.3"" - Core 7 150U - 16GB Ram - 1TB SSD - Intel Graphics",$900.00,"$1,050.00","Specifications: Processor: Intel® Core™ 7 150U (up to 5.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) Memory: 16 GB DDR4 Ram.  Storage: 1 TB NVMe M.2 SSD Display: 17.3"" HD+ (1600 x 900) IPS Touchscreen Anti-Glare 250...",-14%
"Dell Inspiron 14 7445 2in1 Laptop - 14"" Touchscreen - Ryzen 5 8640HS - 8GB Ram - 512GB SSD - AMD Radeon Graphics",$650.00,$800.00,"Specifications: Processor: AMD Ryzen™ 5 8640HS 6-core/12-thread. Memory: 8 GB: 1 x 8 GB, DDR5, 5200 MT/s.  Storage: 512GB M.2 PCIe NVMe Solid State Drive.  Display: 14"", Touch, FHD+ 1920x1200, 60Hz, WVA, IPS, 250 nit, ComfortView.  Graphics: AMD Radeon™ Graphics.  Ports 2 USB Type-C®...",-19%
"Lenovo IdeaPad 1 82VG00QFUS - 15.6"" - Ryzen 5 7520U - 16GB Ram - 256GB SSD - AMD Radeon 610M Graphics",$470.00,$600.00,"Specifications: Processor: AMD Ryzen™ 5 7520U (4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3).  Memory: 16GB Soldered LPDDR5-5500. Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®.  Display: 15.6"" FHD (1920x1080) TN 220nits Anti-glare.   Graphics: Integrated AMD Radeon™ 610M Graphics.  Ports:...",-22%
"Lenovo Yoga Slim 7 15ILL9 - 15.3"" Touchscreen - Core Ultra 7 256V - 16GB Ram - 1TB SSD - Intel Arc Graphics 140V","$1,350.00","$1,500.00","Specifications: Processor: Intel® Core™ Ultra 7 256V, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.8GHz, 12MB.  AI PC Category: Copilot+ PC Memory: 16GB Soldered LPDDR5x-8533, MoP Memory.  Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®.  Display: 15.3"" 2.8K WQXGA+ (2880x1800) IPS 500nits...",-10%
"HP Laptop 15-Fd0143ne (B05A5EA)- 15.6"" - Core I7-1355U - 8GB Ram - 512GB SSD - MX570 2GB",$750.00,$850.00,"Specifications: Processor: Intel® Core™ i7-1355U (up to 5.0 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads).  Memory: 8 GB DDR4-3200 MHz RAM (1 x 8 GB).  Storage: 512 GB PCIe® NVMe™ M.2 SSD.  Display: 39.6 cm (15.6"") diagonal, FHD...",-12%
"HP EliteBook 840 G11 - 14"" - Core Ultra 5-125U - 16GB Ram - 512GB SSD - Intel Graphics",$900.00,"$1,100.00","Specifications: Processor: Intel® Core™ Ultra 5-125U (3.6 GHz, up to 4.3 GHz, 12 MB cache, 12 core).  Memory: 16 GB DDR5 Ram  Storage: 512 GB PCIe NVMe SSD.  Display: 35.6 cm (14"") diagonal, FHD (1920 x 1080), IPS, anti-glare, 400 nits, 72% NTSC.  Graphics:...",-18%
"HP Laptop 15-Fd0149ne (B05B1EA) - 15.6"" - Core I5-1334U - 8GB Ram - 512GB SSD - Intel® Iris® Xᵉ Graphics",$500.00,$600.00,"Specifications: Processor: Intel® Core™ i5-1334U (up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads).   Memory: 8 GB DDR4-3200 MHz RAM (1 x 8 GB).  Storage: 512 GB PCIe® NVMe™ M.2 SSD.  Display: 39.6 cm (15.6"") diagonal, FHD...",-17%
"HP Laptop 15-Fd0152ne (B05B4EA) - 15.6"" - Core I3-1315U - 8GB Ram - 256GB SSD - Intel UHD Graphics",$400.00,$500.00,"Specifications: Processor: Intel® Core™ i3-1315U (up to 4.5 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads).   Memory: 8 GB DDR4-3200 MHz RAM (1 x 8 GB).  Storage: 256 GB PCIe® NVMe™ M.2 SSD.  Display: 39.6 cm (15.6"") diagonal, FHD...",-20%
LG Gram 15.6” Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics,"$1,100.00","$1,200.00","Specifications:  Processor: Powered by the AI-enabled Intel® Core™ Ultra 7 155H processor to unlock the power of AI Memory: 16GB LPDDR5X RAM.  Storage: 1TB NVMe Gen4 SSD.  Display: 15.6” FHD 1920 x 1080, sRGB 100%(Typical, min 95%), IPS Touch.  Graphics: Intel® Arc™ Graphics.  ...",-8%
"Lenovo IdeaPad Slim 3 82XM00BAUS - 15.6"" Touchscreen - Ryzen 7 7730U - 16GB Ram - 512GB SSD - AMD Radeon Graphics",$650.00,$720.00,"Specifications: Processor: AMD Ryzen™ 7 7730U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3).  Memory: 16GB Soldered DDR4-3200.  Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®.  Display: 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, Touch. Graphics: Integrated AMD Radeon™ Graphics.  Ports: 2x USB...",-10%
